Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,Have you received college Credit By Examination for any of the below?,,,,,,,,,,,I consider myself religious,Which of the following statements are true for you?,,,,,,,Do you work in a STEM profession?,"If you are a Mechanical Turk Worker, please add your Worker ID. Otherwise write ""n/a""."
11150939653,249964463,11/17/2019 10:34,11/17/2019 10:36,73.166.88.162,,1,9,5,4,2,,,,,5,2,2,1,5,25,6,3,1,,,,,,,,,,,4,1,,,,,,,2,ANEM435BSW3XU
11150909089,249964463,11/17/2019 10:06,11/17/2019 10:08,100.6.102.245,,3,7,5,10,10,,2,3,,5,10,8,1,3,27,4,5,,,,,,,,,,,11,1,,,3,,5,,,2,A1PKCBFB4QY19G
11150908926,249964463,11/17/2019 10:07,11/17/2019 10:08,174.59.5.207,,1,5,5,5,5,,2,,,,3,4,2,4,26,3,5,,,,,,,,,9,,,4,1,,,,,,,2,A53WVYONK6B9Q
11150898089,249964463,11/17/2019 9:56,11/17/2019 9:58,47.18.88.102,,1,7,6,6,6,,,3,,,8,6,2,4,23,4,4,,,,,,6,,,9,,,4,1,,,,,,,2,A2MOII8IL6SUG
11150897436,249964463,11/17/2019 9:54,11/17/2019 9:57,73.236.179.69,,2,1,3,6,6,,,,,5,4,7,1,2,23,5,5,,,,,,,,,,,11,5,1,,,,,,,2,A37X9UVUH0IOLE
11150892198,249964463,11/17/2019 9:51,11/17/2019 9:52,73.83.132.168,,2,7,7,8,7,,2,3,,,10,9,1,2,26,5,5,,,,,,6,,,,,,1,1,,,,,,,2,A11FFJZ0C984W4
11150878502,249964463,11/17/2019 9:34,11/17/2019 9:39,107.77.201.21,,3,7,10,8,6,,2,,,5,11,8,1,3,23,3,5,,,,,,,,8,,10,,4,,,3,,5,,,2,A1NK6JATWY32BN
11150874272,249964463,11/17/2019 9:29,11/17/2019 9:35,71.224.150.164,,1,2,1,5,4,1,2,3,,5,5,10,1,5,27,5,5,1,,,,,6,,,,,,1,1,,,,,,,1,A18RDBJFY3QWZL
11150872993,249964463,11/17/2019 9:30,11/17/2019 9:33,71.232.53.168,,1,8,6,6,8,,,,,5,12,7,2,3,27,5,4,,,,,,6,,,,,,2,1,,,,,,,2,A3I72FPW52ABJ5
11150868541,249964463,11/17/2019 9:23,11/17/2019 9:29,173.254.254.20,,1,8,8,10,10,,,,,5,5,9,1,10,24,5,5,,,,4,,,7,,,,,6,1,,,,,,,3,A3JGSSDEJ0AWTW
11150860187,249964463,11/17/2019 9:16,11/17/2019 9:22,174.229.129.166,,2,8,7,6,4,1,,,,,10,9,1,4,23,5,5,,,,,,,,,,10,,2,1,,,,,,,2,A3JKYTCUACTDZA
11150859559,249964463,11/17/2019 9:19,11/17/2019 9:21,184.188.101.162,,1,8,8,7,8,,,3,,5,2,7,1,5,23,5,5,,,,,,6,7,,,,,8,1,,,,,,,1,A2UWM8UFXGX54
11150859203,249964463,11/17/2019 9:10,11/17/2019 9:20,98.167.174.4,,2,4,6,7,6,,,3,,5,8,4,1,7,23,5,3,,,,,,6,,,,10,,1,1,,,,,,,2,A34DNSQXWOV0AQ
11150855592,249964463,11/17/2019 9:13,11/17/2019 9:17,50.111.30.143,,2,6,8,8,6,,,3,,,11,6,1,4,25,4,5,,,,,,6,,,,,,9,,2,,,,,,2,A3KHOW5FW32RUL
11150851143,249964463,11/17/2019 9:10,11/17/2019 9:12,68.55.226.184,,1,5,8,9,3,1,,3,,,8,3,2,3,26,5,5,,,,,,6,,,,,,1,1,,,,,,,2,AX1VE31JZ45RY
11150849622,249964463,11/17/2019 9:08,11/17/2019 9:11,69.76.169.166,,2,7,6,7,8,1,2,,,,2,7,2,3,25,5,5,,,,,,6,,,,,,4,1,,,,,,,1,A2S75O867RJG0I
11150848967,249964463,11/17/2019 9:07,11/17/2019 9:10,71.91.144.93,,1,10,9,9,9,,,3,,,11,9,2,6,22,3,3,1,,,,,,,,,,,10,1,,,,,,,2,AB774I47XHB4K
11150843476,249964463,11/17/2019 9:03,11/17/2019 9:05,75.136.9.3,,2,5,5,6,5,,2,,,,10,6,1,1,25,5,5,,,,,,,,,9,,,6,,,3,,5,,7,2,A3C4UHWHON50ZQ
11150842565,249964463,11/17/2019 9:01,11/17/2019 9:04,76.30.104.215,,2,10,10,10,10,1,2,3,4,5,12,5,2,3,24,4,4,,,,,,6,,,,,,1,1,,,,,,7,2,A9YN0N476F6PR
11150832917,249964463,11/17/2019 8:46,11/17/2019 8:58,24.158.105.62,,3,10,10,8,10,,,,,,10,7,2,5,23,2,5,,,,,,,,,,10,,1,1,,,,,,,2,A1FNNL4YJGBU8U
11150827964,249964463,11/17/2019 8:46,11/17/2019 8:49,172.58.139.165,,2,8,9,7,5,,,,,,11,3,1,1,22,4,5,,,,,,6,,,,,,10,1,,,,,,7,2,AOZE7Y2EF5QDN
11150827422,249964463,11/17/2019 8:47,11/17/2019 8:48,98.110.59.124,,2,7,3,7,5,1,2,3,,5,6,8,2,4,24,6,2,,,,,,6,,,,,,1,1,,,,,,,2,AE87K978IXPYP
11150826296,249964463,11/17/2019 8:43,11/17/2019 8:48,73.207.149.206,,3,5,4,6,7,,,,,,10,6,2,6,20,3,5,,2,,,,6,,,,,,1,1,,,,,,,2,A1SEYTDDA0DQZ
11150807332,249964463,11/17/2019 8:25,11/17/2019 8:28,68.83.39.243,,2,10,9,6,6,1,,,,,5,5,1,3,25,7,5,,,,,,6,,,,,,1,1,,,,,,,2,A5PO2CXTP3QE9
11150806972,249964463,11/17/2019 8:26,11/17/2019 8:27,98.26.84.248,,3,8,10,8,3,1,,,,,1,10,2,3,22,3,5,,,,,,,,,,10,,3,1,,,,,,,2,A2I0PVB0364CE
11150800747,249964463,11/17/2019 8:18,11/17/2019 8:21,172.74.27.230,,2,10,8,9,6,,,3,,,11,7,3,2,24,4,5,,,,,,6,,,,10,,9,1,,,,,,,2,A3MBRQO3XAVTIV
11150797536,249964463,11/17/2019 8:13,11/17/2019 8:18,174.255.1.153,,3,10,10,9,1,,,,,5,10,9,1,2,21,3,5,,,,,,6,,,,,,10,,2,,,5,,,2,A1EFQGRCW78XW0
11150797041,249964463,11/17/2019 8:14,11/17/2019 8:18,209.6.108.195,,1,8,9,10,5,1,2,3,4,,6,6,2,8,25,5,5,,,,,,6,,,,,,1,1,,,,,,,1,A2P4ZX087XVHAR
11150778862,249964463,11/17/2019 7:56,11/17/2019 7:57,24.101.174.196,,1,8,9,9,10,,,,,5,8,7,1,3,31,5,5,,,,,,6,,,,,,1,1,,,,,,,2,A4GGV17IG8W5C
11150771298,249964463,11/17/2019 7:46,11/17/2019 7:49,181.214.167.69,,1,6,7,7,7,,,,,5,4,7,2,4,25,5,1,,,,,,,7,,,,,7,,2,,,,,,1,''n/a''.
11150771132,249964463,11/17/2019 7:46,11/17/2019 7:49,72.188.12.246,,2,7,8,8,6,,,,,,5,6,1,2,24,5,3,,,,,,6,,,,,,7,1,,,,,,7,1,AZZDXA6TV6737
11150771023,249964463,11/17/2019 7:46,11/17/2019 7:49,75.181.91.125,,1,4,3,7,8,,2,,4,,6,7,2,7,25,5,5,,,,,,6,,,,,,6,1,,,,,,,1,A2EQOFJNKS7RCN
11150767938,249964463,11/17/2019 7:43,11/17/2019 7:45,99.109.255.169,,1,6,8,7,8,,,,,,5,9,2,3,25,5,5,,,,,,6,,,,,,1,1,,,,,,,1,A33Z6BHAJUGCHY
11150765892,249964463,11/17/2019 7:41,11/17/2019 7:43,174.130.202.213,,2,6,8,5,9,1,2,,,5,7,10,2,2,23,4,5,,,,,,6,,,,,,1,1,,,,,,,2,A2NG2CCBMVEBIA
11150765553,249964463,11/17/2019 7:41,11/17/2019 7:42,107.2.147.26,,2,10,10,6,9,,,,,,4,4,2,5,26,5,3,1,,,,,,,,,,,1,1,,,,,,,2,A2FEPNA8OA1UE
11150759331,249964463,11/17/2019 7:31,11/17/2019 7:35,24.220.125.64,,2,5,6,3,2,1,,3,,5,11,6,2,2,23,4,3,,,,4,,,,,,,,3,1,,,,,,,2,A20K99JZE0L8HU
11150724928,249964463,11/17/2019 6:53,11/17/2019 6:55,75.22.121.77,,1,6,6,9,6,1,2,,,,6,10,1,5,23,4,5,,,,,,6,,,,,,1,,2,,,5,,,3,A105ZUIAGMN8SW
11150717946,249964463,11/17/2019 6:45,11/17/2019 6:47,23.28.34.13,,1,3,5,8,7,,,,,,12,4,1,3,24,4,5,,,,,,6,,,,,,1,,2,,,,,7,2,A1JFN2WUBMMI6K
11150716154,249964463,11/17/2019 6:42,11/17/2019 6:44,24.28.154.76,,1,8,4,6,8,,2,,,5,4,9,2,3,26,5,5,,,,,,,,8,,,,9,1,,,,,,,2,A2L5P4WPYG30UN
11150699631,249964463,11/17/2019 6:20,11/17/2019 6:24,174.196.208.38,,1,10,10,9,8,,,,,,11,8,1,6,27,4,5,,,,,,6,,,,,,4,,,3,,,,,2,ANWKES7DJ3ZF8
11150666737,249964463,11/17/2019 5:42,11/17/2019 5:48,82.134.32.142,,1,2,8,9,4,1,,3,,,11,9,1,7,25,6,5,,,,,,,7,,,,,10,1,,,,,,,2,A3E58A3JQ7OAPD
11150658413,249964463,11/17/2019 5:33,11/17/2019 5:34,108.65.124.61,,1,6,7,6,5,,,3,,,12,6,1,11,24,7,5,,,,,,6,,,,,,6,1,,,,,,,2,A1WKF2VH7TV0H2
11150612356,249964463,11/17/2019 4:41,11/17/2019 4:43,191.99.96.61,,1,5,3,5,4,,2,3,,,2,7,1,3,27,5,5,,,,,,6,,,,,,1,1,,,,,,7,2,ASWRCA8J5G771
11150598496,249964463,11/17/2019 4:25,11/17/2019 4:27,172.91.86.202,,2,9,8,7,10,,,3,,5,10,6,2,4,25,5,2,,,,,,,,8,,,,3,1,,,,,,,2,A1A0OTKVK1YXXD
11150597012,249964463,11/17/2019 4:16,11/17/2019 4:25,107.77.196.59,,2,7,8,8,5,1,2,3,,,10,5,1,2,24,4,5,1,,,,,,,,,,,2,1,,,,,,,2,A301K9WNOGYXYG
11150576851,249964463,11/17/2019 3:58,11/17/2019 4:01,24.251.5.129,,2,9,5,10,10,,2,3,,,6,9,2,5,24,4,5,,,,,,6,,,,,,2,1,,,,,,7,1,A3AY0315YWWNXY
11150573608,249964463,11/17/2019 3:55,11/17/2019 3:57,67.141.139.138,,1,4,6,7,7,,,3,,,7,6,1,3,22,3,5,,,,,,6,,8,,,,6,,2,,,,,,1,A175Y56LRLNX79
11150573066,249964463,11/17/2019 3:50,11/17/2019 3:56,70.190.71.6,,1,8,9,10,9,,2,,,,2,10,1,4,24,5,4,,,,,,6,,,,,,6,1,,,,,,,2,A1RHW1MEJSR3MR
11150561269,249964463,11/17/2019 3:38,11/17/2019 3:40,199.59.31.186,,1,10,5,9,8,,,3,4,,6,8,2,3,23,5,5,,,,,,,,,9,,,6,1,,,,,,,1,A33B621RF790JB
11150560414,249964463,11/17/2019 3:37,11/17/2019 3:39,75.80.37.39,,1,7,8,4,10,,,,,5,4,6,2,6,25,5,2,,,,,,6,,,,,,1,1,,,,,,,2,A20U2TD60NCZZQ
11150554682,249964463,11/17/2019 3:29,11/17/2019 3:31,99.120.112.81,,3,8,10,7,7,,2,3,,,6,8,2,1,24,4,5,,,,,,,,8,,,,7,,,,,,,7,2,A1G0CAJWUA8I8J
11150549641,249964463,11/17/2019 3:15,11/17/2019 3:24,172.249.35.154,,2,8,6,6,6,,,3,,,5,8,2,3,24,4,2,,,,,,6,,,,,,3,1,,,,,,,2,A148TN9DRGYUBY
11150522222,249964463,11/17/2019 2:42,11/17/2019 2:46,76.95.9.5,,1,8,8,9,8,1,2,,,,5,7,2,4,22,5,2,,,,,,6,7,8,,,,3,1,,,,,,,1,A2S591ZMEWMA5C
11150515339,249964463,11/17/2019 2:31,11/17/2019 2:36,75.81.147.239,,2,10,6,7,4,1,2,3,,,11,7,2,3,24,4,5,,,,,,6,,8,,,,1,1,,,,,,7,2,AVMLAWDFBOAHA
11150508949,249964463,11/17/2019 2:23,11/17/2019 2:26,75.51.25.71,,1,9,4,7,10,1,2,,,5,5,9,2,4,22,5,5,,,,,,6,,,,,,10,1,,,,,,,1,A3SWL75BV6ZEHT
11150506827,249964463,11/17/2019 2:20,11/17/2019 2:23,97.70.46.182,,2,4,4,4,3,,,,,,10,6,1,3,24,3,5,,,,,,6,,,,,,1,1,,,,,,,2,A3LA29E3FMDLNB
11150506151,249964463,11/17/2019 2:20,11/17/2019 2:22,99.189.122.216,,2,9,9,8,8,,,3,,,6,8,2,4,24,5,5,,,,,,6,,,9,,,8,1,,,,,,,1,A10BX5AD14TGMB
11150503380,249964463,11/17/2019 2:16,11/17/2019 2:17,76.31.114.27,,1,5,8,6,7,,,,,,6,8,2,6,22,5,5,,,,,,6,,,,,,3,1,,,,,,,1,A2PI9PTVZNPMMW
11150498701,249964463,11/17/2019 2:06,11/17/2019 2:10,99.7.210.86,,3,6,6,5,4,,,3,,,4,5,2,4,25,5,2,,,,,,6,,,,,,1,1,,,,,,,2,AGSSG1SWNWGHD
11150493090,249964463,11/17/2019 2:00,11/17/2019 2:01,47.221.82.116,,2,9,6,10,10,,,,,5,10,7,1,3,24,3,5,,,,,,6,,,,,,6,,,3,,5,,,2,A3QZ48XFC9YBMX
11150492578,249964463,11/17/2019 1:57,11/17/2019 2:00,47.221.82.116,,2,9,6,10,10,,,,,5,10,7,1,3,24,3,5,,,,,,6,,,,,,6,,,3,,5,,,2,A3QZ48XFC9YBMX
11150492317,249964463,11/17/2019 1:59,11/17/2019 2:00,71.236.27.200,,1,7,8,5,4,1,2,3,,5,3,4,2,4,25,5,2,,,,,,,7,,,,,1,1,,,,,,,1,A2RVDEU138ZF9P
11150482644,249964463,11/17/2019 1:43,11/17/2019 1:44,151.181.74.214,,1,6,6,6,6,,,,,5,4,6,2,6,21,4,5,,,,,,6,,,,,,3,1,,,,,,7,2,A13MV24Z1PW8VB
11150482554,249964463,11/17/2019 1:40,11/17/2019 1:44,204.11.129.248,,2,7,5,7,5,,,,,,10,8,2,3,23,4,3,,,,,,6,,,,10,,1,1,,,,,,7,2,A1MM0KQADC8JIW
11150482485,249964463,11/17/2019 1:43,11/17/2019 1:44,67.198.119.125,,2,5,7,7,4,,,3,,,1,6,1,2,27,4,5,,,,,,6,,,,,,4,1,,,,,,7,1,AFC5ZLY27WOXP
11150479706,249964463,11/17/2019 1:33,11/17/2019 1:39,24.118.189.176,,1,10,8,8,5,,2,3,,5,10,5,2,2,24,3,5,,,,,,,,,,10,,1,1,,,,,,,2,A2ZPOBTBAVDO0S
11150478924,249964463,11/17/2019 1:35,11/17/2019 1:37,98.230.53.83,,2,7,7,6,4,,,,,5,11,8,1,3,23,5,4,,,,4,,6,,,,,,3,1,,,,,,7,2,A3H1CWTHL18474
11150478143,249964463,11/17/2019 1:31,11/17/2019 1:36,67.185.237.215,,1,10,7,7,4,,,3,,5,11,4,1,4,24,4,5,,,,,,6,,,,,,4,,2,,,5,,,2,A4EJNWLWAUTDU
11150477682,249964463,11/17/2019 1:32,11/17/2019 1:35,73.181.157.141,,2,10,10,10,6,1,2,3,4,5,10,10,1,3,25,5,6,,,,,,6,,,,,,1,1,,,,,,,2,AA9SBG7LNCG8Q
11150477453,249964463,11/17/2019 1:31,11/17/2019 1:35,73.173.103.253,,3,2,1,9,7,,2,3,,,10,9,2,10,25,5,5,,,,,,6,,,,10,,1,1,,,,,,,2,A272X64FOZFYLB
11150476581,249964463,11/17/2019 1:07,11/17/2019 1:33,196.52.2.90,,1,9,7,9,9,1,2,3,,5,6,9,2,4,25,6,5,,,,,,,,8,,,,10,,,3,,,,,2,A3LE1BIVORW3VR
11150476456,249964463,11/17/2019 1:30,11/17/2019 1:33,24.208.211.118,,2,7,10,10,10,1,,,,5,6,7,2,5,20,4,5,,,,,,6,,,,,,5,1,,,,,,,3,A11EL5LWS2L1HX
11150475409,249964463,11/17/2019 1:25,11/17/2019 1:31,98.187.252.66,,1,5,9,10,6,,,,,5,10,5,2,2,24,3,3,,,,,,6,,,,,,4,1,,,,,,,2,AEOQBA3MLLVK9
11150475040,249964463,11/17/2019 1:26,11/17/2019 1:31,38.89.139.217,,2,7,7,8,7,,2,,,,2,7,2,1,25,4,5,1,,,,,6,,,,,,5,1,,,,,,,2,A1TB28SHYM0EJQ
11150474297,249964463,11/17/2019 1:23,11/17/2019 1:29,185.242.5.99,,1,9,2,8,9,,,,,,5,9,1,4,32,4,3,,,,,,,,,,10,,9,1,,,,,,,1,A279HK0GY9PIJ0
11150472086,249964463,11/17/2019 1:24,11/17/2019 1:25,67.3.47.10,,1,8,8,7,7,1,,,,,8,6,2,3,22,5,1,,,,,,6,,,,,,6,,,3,,,,,2,AK77EA1UZ8KJG
11150471849,249964463,11/17/2019 1:23,11/17/2019 1:25,35.142.30.33,,1,6,7,6,7,,,,,5,11,6,2,3,23,5,5,,,,4,,,,,,,,1,1,,,,,,,2,A726EC4AQNNNC
11150471137,249964463,11/17/2019 1:21,11/17/2019 1:24,73.103.86.83,,3,9,7,6,10,,,3,,5,6,6,2,1,22,4,5,,,,,,6,,,,,,1,1,,,,,,7,2,A1CG7KOF7R7QWJ
11150471105,249964463,11/17/2019 1:22,11/17/2019 1:24,24.101.174.196,,1,7,6,7,8,,,,,5,4,3,2,4,28,5,3,,,,,,6,,,,,,1,1,,,,,,,2,A2SYTRKH1JWJO5
11150470943,249964463,11/17/2019 1:20,11/17/2019 1:23,172.88.204.99,,2,4,3,5,7,,,,,5,5,6,2,9,25,7,2,,,,,,6,7,,,,,3,1,,,,,,,2,A3DUL880Y08G95
11150470503,249964463,11/17/2019 1:21,11/17/2019 1:23,73.187.222.121,,1,6,8,9,8,,,3,,5,8,8,1,4,27,5,5,1,,,,,,,,,,,1,1,,,,,,,1,A1J8TVICSRC70W
11150469571,249964463,11/17/2019 1:19,11/17/2019 1:21,12.185.249.140,,2,9,10,10,9,,,,,,1,1,2,3,26,4,5,,,,,,,,,9,10,,1,1,,,,,,,2,A3I40B0FATY8VH
11150468496,249964463,11/17/2019 1:17,11/17/2019 1:19,216.71.51.160,,3,8,7,9,6,1,2,3,,5,10,6,2,3,22,3,5,1,,,,,,,,,,,1,1,,,,,,,2,A24J77X6RQP62Z
11150467554,249964463,11/17/2019 1:13,11/17/2019 1:17,104.200.129.48,,2,6,6,8,7,,2,3,,,7,7,1,3,23,5,5,,,,,,,,8,,,,9,1,,,,,,,2,A3C2X1L5PVNNLV
11150464241,249964463,11/17/2019 1:09,11/17/2019 1:12,70.95.57.210,,2,7,5,9,7,1,2,3,,5,6,7,2,6,26,4,5,,,,,,,,8,,,,1,1,,,,,,,2,A3VO0XM2QYIOI8
11150463861,249964463,11/17/2019 1:06,11/17/2019 1:11,76.226.72.88,,2,8,8,6,6,,,,,5,11,7,1,2,24,5,2,,,,,,6,,,,,,6,1,,,,,,,2,A2QAZEEJSRRQ3Y
11150462874,249964463,11/17/2019 1:02,11/17/2019 1:09,71.255.184.130,,2,9,7,7,7,1,2,,,,11,8,1,2,24,5,5,,,,,,6,,,,,,8,1,,,,,,,2,A32V950LR7ZXN1
11150462859,249964463,11/17/2019 1:08,11/17/2019 1:09,96.8.248.174,,3,6,8,5,8,,2,,,,2,5,2,5,19,5,5,,,,,,6,,,,,,1,1,,,,,,7,1,A1SX8IVV82M0LW
11150462727,249964463,11/17/2019 1:04,11/17/2019 1:09,70.190.71.6,,1,9,10,10,9,1,2,3,,,4,9,2,4,23,5,5,1,,,,,,,,,,,1,1,,,,,,,1,A1GEZDTJPG3Q7U
11150462200,249964463,11/17/2019 1:04,11/17/2019 1:08,107.175.34.178,,1,10,1,1,6,1,2,3,,,6,1,2,6,25,7,5,,2,,,,,,,9,,,10,1,,,,,,,2,A129AT0YRN5M6Z
11150461839,249964463,11/17/2019 1:05,11/17/2019 1:07,172.89.136.73,,2,10,10,8,5,,2,3,,,5,10,2,2,22,5,2,,,,,,6,,,,,,1,1,,,,,,,1,A1P63JTY9RGF5E
11150461096,249964463,11/17/2019 1:04,11/17/2019 1:06,68.101.131.131,,2,8,6,6,8,1,,,,5,11,6,2,4,25,4,2,,,,,,6,,,9,,,3,1,,,,,,7,2,A2VK51X6O3GJYM
11150460681,249964463,11/17/2019 1:02,11/17/2019 1:05,216.15.100.81,,2,7,9,8,9,,2,3,,5,10,10,1,3,24,5,5,,,,,,6,,,,,,2,1,,,,,,,2,A26TP6KBY866VC
11150460580,249964463,11/17/2019 1:02,11/17/2019 1:05,72.204.81.246,,2,10,10,6,7,,,,,5,6,7,1,4,25,4,4,1,,,,,6,,,,,,4,,2,,,5,,,2,A2JPA1HTZGQN19
11150460343,249964463,11/17/2019 1:03,11/17/2019 1:05,73.144.212.23,,2,9,8,10,5,,2,3,,,2,7,1,2,23,5,5,,,,,5,6,,,,,,2,1,,,,,,,2,A3ENGM268RT9QW
11150460073,249964463,11/17/2019 1:02,11/17/2019 1:04,68.191.107.87,,2,9,6,9,7,1,,3,,,10,9,1,6,23,4,5,,,,,,6,,,,,,6,1,,,,,,7,2,A49MD40UT6ABO
11150459910,249964463,11/17/2019 1:02,11/17/2019 1:04,47.156.90.116,,2,6,8,7,6,,2,3,,5,6,7,2,5,23,5,5,,,,,,6,,,,,,1,1,,,,,,,1,A1PUHCEBSOWETV
