"RespondentID","CollectorID","EndDate","FavorEntryLevel","FavorConventionalSoon","FavorOnlineEducation","FavorAI","HeardOfUdacity","HeardOfUdemy","HeardOfCoursera","HeardOfPluralsight","HeardOfLynda","Industry","FavorRegulation","ReportedIncome","ReportedExactAge","Education","Ethnicity","FavorReligion","IsReportedMale","IsReportedFemale","IsReportedNonbinary","IsUnreportedGender","IsReportedIncomePreferNotDisclose","IsManager","IsUnemployed","IsStem","IsNotStem","IsUnsureStem","IsUnreportedStem","IsMale","IsFemale"
"11150459910","249964463","11/17/2019 1:04","6","8","7","6","0","1","1","0","1","6","7","5","23","5","5","1","1","0","0","0","0","0","0","1","0","0","0","1","0"
"11150460580","249964463","11/17/2019 1:05","10","10","6","7","0","0","0","0","1","6","7","4","25","4","4","4","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150460343","249964463","11/17/2019 1:05","9","8","10","5","0","1","1","0","0","2","7","2","23","5","5","2","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150460681","249964463","11/17/2019 1:05","7","9","8","9","0","1","1","0","1","10","10","3","24","5","5","2","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150460073","249964463","11/17/2019 1:04","9","6","9","7","1","0","1","0","0","10","9","6","23","4","5","6","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150461096","249964463","11/17/2019 1:06","8","6","6","8","1","0","0","0","1","11","6","4","25","4","2","3","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150461839","249964463","11/17/2019 1:07","10","10","8","5","0","1","1","0","0","5","10","2","22","5","2","1","1","0","0","0","0","0","0","1","0","0","0","1","0"
"11150462200","249964463","11/17/2019 1:08","10","1","1","6","1","1","1","0","0","6","1","6","25","7","5","10","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150462727","249964463","11/17/2019 1:09","9","10","10","9","1","1","1","0","0","4","9","4","23","5","5","1","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150462874","249964463","11/17/2019 1:09","9","7","7","7","1","1","0","0","0","11","8","2","24","5","5","8","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150462859","249964463","11/17/2019 1:09","6","8","5","8","0","1","0","0","0","2","5","5","19","5","5","1","1","0","0","0","0","0","1","1","0","0","0","1","0"
"11150463861","249964463","11/17/2019 1:11","8","8","6","6","0","0","0","0","1","11","7","2","24","5","2","6","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150468496","249964463","11/17/2019 1:19","8","7","9","6","1","1","1","0","1","10","6","3","22","3","5","1","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150467554","249964463","11/17/2019 1:17","6","6","8","7","0","1","1","0","0","7","7","3","23","5","5","9","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150464241","249964463","11/17/2019 1:12","7","5","9","7","1","1","1","0","1","6","7","6","26","4","5","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150469571","249964463","11/17/2019 1:21","9","10","10","9","0","0","0","0","0","1","1","3","26","4","5","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150470503","249964463","11/17/2019 1:23","6","8","9","8","0","0","1","0","1","8","8","4","27","5","5","1","0","1","0","0","0","1","0","1","0","0","0","0","1"
"11150471105","249964463","11/17/2019 1:24","7","6","7","8","0","0","0","0","1","4","3","4","28","5","3","1","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150470943","249964463","11/17/2019 1:23","4","3","5","7","0","0","0","0","1","5","6","9","25","7","2","3","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150471137","249964463","11/17/2019 1:24","9","7","6","10","0","0","1","0","1","6","6","1","22","4","5","1","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150471849","249964463","11/17/2019 1:25","6","7","6","7","0","0","0","0","1","11","6","3","23","5","5","1","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150474297","249964463","11/17/2019 1:29","9","2","8","9","0","0","0","0","0","5","9","4","32","4","3","9","0","1","0","0","0","1","0","1","0","0","0","0","1"
"11150472086","249964463","11/17/2019 1:25","8","8","7","7","1","0","0","0","0","8","6","3","22","5","1","6","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150475040","249964463","11/17/2019 1:31","7","7","8","7","0","1","0","0","0","2","7","1","25","4","5","5","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150475409","249964463","11/17/2019 1:31","5","9","10","6","0","0","0","0","1","10","5","2","24","3","3","4","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150476581","249964463","11/17/2019 1:33","9","7","9","9","1","1","1","0","1","6","9","4","25","6","5","10","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150476456","249964463","11/17/2019 1:33","7","10","10","10","1","0","0","0","1","6","7","5","20","4","5","5","1","0","0","0","0","0","0","0","0","1","0","1","0"
"11150477453","249964463","11/17/2019 1:35","2","1","9","7","0","1","1","0","0","10","9","10","25","5","5","1","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150477682","249964463","11/17/2019 1:35","10","10","10","6","1","1","1","1","1","10","10","3","25","5","6","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150478143","249964463","11/17/2019 1:36","10","7","7","4","0","0","1","0","1","11","4","4","24","4","5","4","0","1","0","0","0","1","0","0","1","0","0","0","1"
"11150478924","249964463","11/17/2019 1:37","7","7","6","4","0","0","0","0","1","11","8","3","23","5","4","3","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150479706","249964463","11/17/2019 1:39","10","8","8","5","0","1","1","0","1","10","5","2","24","3","5","1","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150482485","249964463","11/17/2019 1:44","5","7","7","4","0","0","1","0","0","1","6","2","27","4","5","4","0","1","0","0","0","0","0","1","0","0","0","0","1"
"11150482554","249964463","11/17/2019 1:44","7","5","7","5","0","0","0","0","0","10","8","3","23","4","3","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150482644","249964463","11/17/2019 1:44","6","6","6","6","0","0","0","0","1","4","6","6","21","4","5","3","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150492317","249964463","11/17/2019 2:00","7","8","5","4","1","1","1","0","1","3","4","4","25","5","2","1","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150492578","249964463","11/17/2019 2:00","9","6","10","10","0","0","0","0","1","10","7","3","24","3","5","6","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150493090","249964463","11/17/2019 2:01","9","6","10","10","0","0","0","0","1","10","7","3","24","3","5","6","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150498701","249964463","11/17/2019 2:10","6","6","5","4","0","0","1","0","0","4","5","4","25","5","2","1","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150503380","249964463","11/17/2019 2:17","5","8","6","7","0","0","0","0","0","6","8","6","22","5","5","3","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150506827","249964463","11/17/2019 2:23","4","4","4","3","0","0","0","0","0","10","6","3","24","3","5","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150506151","249964463","11/17/2019 2:22","9","9","8","8","0","0","1","0","0","6","8","4","24","5","5","8","1","0","0","0","0","0","0","1","0","0","0","1","0"
"11150508949","249964463","11/17/2019 2:26","9","4","7","10","1","1","0","0","1","5","9","4","22","5","5","10","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150515339","249964463","11/17/2019 2:36","10","6","7","4","1","1","1","0","0","11","7","3","24","4","5","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150522222","249964463","11/17/2019 2:46","8","8","9","8","1","1","0","0","0","5","7","4","22","5","2","3","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150549641","249964463","11/17/2019 3:24","8","6","6","6","0","0","1","0","0","5","8","3","24","4","2","3","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150554682","249964463","11/17/2019 3:31","8","10","7","7","0","1","1","0","0","6","8","1","24","4","5","7","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150560414","249964463","11/17/2019 3:39","7","8","4","10","0","0","0","0","1","4","6","6","25","5","2","1","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150561269","249964463","11/17/2019 3:40","10","5","9","8","0","0","1","1","0","6","8","3","23","5","5","6","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150573066","249964463","11/17/2019 3:56","8","9","10","9","0","1","0","0","0","2","10","4","24","5","4","6","0","1","0","0","0","1","0","0","1","0","0","0","1"
"11150573608","249964463","11/17/2019 3:57","4","6","7","7","0","0","1","0","0","7","6","3","22","3","5","6","0","1","0","0","0","1","0","1","0","0","0","0","1"
"11150576851","249964463","11/17/2019 4:01","9","5","10","10","0","1","1","0","0","6","9","5","24","4","5","2","1","0","0","0","0","0","0","1","0","0","0","1","0"
"11150597012","249964463","11/17/2019 4:25","7","8","8","5","1","1","1","0","0","10","5","2","24","4","5","2","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150598496","249964463","11/17/2019 4:27","9","8","7","10","0","0","1","0","1","10","6","4","25","5","2","3","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150612356","249964463","11/17/2019 4:43","5","3","5","4","0","1","1","0","0","2","7","3","27","5","5","1","0","1","0","0","0","1","0","0","1","0","0","0","1"
"11150658413","249964463","11/17/2019 5:34","6","7","6","5","0","0","1","0","0","12","6","","24","7","5","6","0","1","0","0","1","1","0","0","1","0","0","0","1"
"11150666737","249964463","11/17/2019 5:48","2","8","9","4","1","0","1","0","0","11","9","7","25","6","5","10","0","1","0","0","0","1","0","0","1","0","0","0","1"
"11150699631","249964463","11/17/2019 6:24","10","10","9","8","0","0","0","0","0","11","8","6","27","4","5","4","0","1","0","0","0","1","0","0","1","0","0","0","1"
"11150716154","249964463","11/17/2019 6:44","8","4","6","8","0","1","0","0","1","4","9","3","26","5","5","9","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150717946","249964463","11/17/2019 6:47","3","5","8","7","0","0","0","0","0","12","4","3","24","4","5","1","0","1","0","0","0","1","0","0","1","0","0","0","1"
"11150724928","249964463","11/17/2019 6:55","6","6","9","6","1","1","0","0","0","6","10","5","23","4","5","1","0","1","0","0","0","1","0","0","0","1","0","0","1"
"11150759331","249964463","11/17/2019 7:35","5","6","3","2","1","0","1","0","1","11","6","2","23","4","3","3","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150765553","249964463","11/17/2019 7:42","10","10","6","9","0","0","0","0","0","4","4","5","26","5","3","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150765892","249964463","11/17/2019 7:43","6","8","5","9","1","1","0","0","1","7","10","2","23","4","5","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150771023","249964463","11/17/2019 7:49","4","3","7","8","0","1","0","1","0","6","7","7","25","5","5","6","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150767938","249964463","11/17/2019 7:45","6","8","7","8","0","0","0","0","0","5","9","3","25","5","5","1","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150771132","249964463","11/17/2019 7:49","7","8","8","6","0","0","0","0","0","5","6","2","24","5","3","7","0","1","0","0","0","0","0","1","0","0","0","0","1"
"11150771298","249964463","11/17/2019 7:49","6","7","7","7","0","0","0","0","1","4","7","4","25","5","1","7","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150778862","249964463","11/17/2019 7:57","8","9","9","10","0","0","0","0","1","8","7","3","31","5","5","1","0","1","0","0","0","1","0","0","1","0","0","0","1"
"11150797041","249964463","11/17/2019 8:18","8","9","10","5","1","1","1","1","0","6","6","8","25","5","5","1","1","0","0","0","0","1","0","1","0","0","0","1","0"
"11150797536","249964463","11/17/2019 8:18","10","10","9","1","0","0","0","0","1","10","9","2","21","3","5","10","0","1","0","0","0","0","1","0","1","0","0","0","1"
"11150800747","249964463","11/17/2019 8:21","10","8","9","6","0","0","1","0","0","11","7","2","24","4","5","9","0","0","1","0","0","0","0","0","1","0","0","0","0"
"11150806972","249964463","11/17/2019 8:27","8","10","8","3","1","0","0","0","0","1","10","3","22","3","5","3","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150807332","249964463","11/17/2019 8:28","10","9","6","6","1","0","0","0","0","5","5","3","25","7","5","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150826296","249964463","11/17/2019 8:48","5","4","6","7","0","0","0","0","0","10","6","6","20","3","5","1","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150827422","249964463","11/17/2019 8:48","7","3","7","5","1","1","1","0","1","6","8","4","24","6","2","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150827964","249964463","11/17/2019 8:49","8","9","7","5","0","0","0","0","0","11","3","1","22","4","5","10","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150832917","249964463","11/17/2019 8:58","10","10","8","10","0","0","0","0","0","10","7","5","23","2","5","1","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150842565","249964463","11/17/2019 9:04","10","10","10","10","1","1","1","1","1","12","5","3","24","4","4","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150843476","249964463","11/17/2019 9:05","5","5","6","5","0","1","0","0","0","10","6","1","25","5","5","6","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150848967","249964463","11/17/2019 9:10","10","9","9","9","0","0","1","0","0","11","9","6","22","3","3","10","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150849622","249964463","11/17/2019 9:11","7","6","7","8","1","1","0","0","0","2","7","3","25","5","5","4","1","0","0","0","0","0","0","1","0","0","0","1","0"
"11150851143","249964463","11/17/2019 9:12","5","8","9","3","1","0","1","0","0","8","3","3","26","5","5","1","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150855592","249964463","11/17/2019 9:17","6","8","8","6","0","0","1","0","0","11","6","4","25","4","5","9","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150859203","249964463","11/17/2019 9:20","4","6","7","6","0","0","1","0","1","8","4","7","23","5","3","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150859559","249964463","11/17/2019 9:21","8","8","7","8","0","0","1","0","1","2","7","5","23","5","5","8","0","1","0","0","0","1","0","1","0","0","0","0","1"
"11150860187","249964463","11/17/2019 9:22","8","7","6","4","1","0","0","0","0","10","9","4","23","5","5","2","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150868541","249964463","11/17/2019 9:29","8","8","10","10","0","0","0","0","1","5","9","10","24","5","5","6","0","1","0","0","0","1","0","0","0","1","0","0","1"
"11150872993","249964463","11/17/2019 9:33","8","6","6","8","0","0","0","0","1","12","7","3","27","5","4","2","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150874272","249964463","11/17/2019 9:35","2","1","5","4","1","1","1","0","1","5","10","5","27","5","5","1","0","1","0","0","0","1","0","1","0","0","0","0","1"
"11150878502","249964463","11/17/2019 9:39","7","10","8","6","0","1","0","0","1","11","8","3","23","3","5","4","0","1","0","0","0","0","1","0","1","0","0","0","1"
"11150892198","249964463","11/17/2019 9:52","7","7","8","7","0","1","1","0","0","10","9","2","26","5","5","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150897436","249964463","11/17/2019 9:57","1","3","6","6","0","0","0","0","1","4","7","2","23","5","5","5","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150898089","249964463","11/17/2019 9:58","7","6","6","6","0","0","1","0","0","8","6","4","23","4","4","4","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150908926","249964463","11/17/2019 10:08","5","5","5","5","0","1","0","0","0","3","4","4","26","3","5","4","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150909089","249964463","11/17/2019 10:08","7","5","10","10","0","1","1","0","1","10","8","3","27","4","5","1","0","1","0","0","0","0","1","0","1","0","0","0","1"
