Start Date,End Date,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become common for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.",How long do you believe it usually takes to obtain an alternative credential?,Have you heard of any of the following online course providers? Coursera,Have you heard of any of the following online course providers? edX,Have you heard of any of the following online course providers? LinkedInLearning,Have you heard of any of the following online course providers? Pluralsight,Have you heard of any of the following online course providers? Udacity,Have you heard of any of the following online course providers? Udemy,"People who are willing to break formal or informal rules and norms probably have a hard time getting along with teams or customers. They present a risk to the reputation, productivity, or value of a company.",People who are willing to break formal or informal rules and norms tend to be gifted in the areas of creativity and innovation. They are likely to benefit the culture of a company.,People who are willing to break formal or informal rules and norms might be doing so because the rules hold them back. They could just as easily be high performers as low performers.,Do you contribute to hiring and firing decisions at your company?,"If you do contribute to hiring and firing decisions, please write the most common job title for which you make such decisions. If you do not, please write your current or most recent job title. If you have never held a job of any kind, write “n/a.”","Thinking about the job title provided in response to the above question, are you aware of any alternative credentials which would be required, recommended, or applicable for this job?",Roughly how many full-time employees currently work for your organization?,Which of these industries most closely matches your profession?,Other Industry,I prefer to hire or work with a person that has a college degree rather a person that holds a reputable certification or non-college credential.,What state do you reside in?,Gender,Household Income?,Age?,What is the highest level of education you have completed?,Which race/ethnicity best describes you?,Grit,OCEAN,I think of a career in programming as enjoyable,I enjoy taking risks,"When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Government regulation helps ensure businesses treat individuals more fairly.,I favor freer trade and migration with other nations,Which worldview best describes you?,"I have a high level of community engagement, participation, or activism related to my worldview.",To what degree has coronavirus negatively impacted your life?,"To what degree has coronavirus caused you to increase your participation in remote learning, remote working, and other remote activities?",To what degree has coronavirus-induced remote activity improved your favorability to remote learning (either for yourself or for other people)?,"For many professions, learning at this school can qualify a person for an entry-level position.","For many professions, learning at this school can qualify a person for an entry-level position.","For many professions, learning at this school can qualify a person for an entry-level position.","For many professions, learning at this school can qualify a person for an entry-level position.","For many professions, learning at this school can qualify a person for an entry-level position.","For many professions, learning at this school can qualify a person for an entry-level position.","For many professions, learning at this school can qualify a person for an entry-level position.","For many professions, learning at this school can qualify a person for an entry-level position.",How impressed would you be if you heard that someone studied at this school?,How impressed would you be if you heard that someone studied at this school?,The level of physical attractiveness held by an ideal job applicant.,The level of physical attractiveness held by a typical employee at my company.,The level of physical attractiveness held by a recent college graduate.,The level of physical attractiveness held by a non-college graduate with an alternative credential.,The level of emotional intelligence held by an ideal job applicant.,The level of emotional intelligence held by a typical employee at my company.,The level of emotional intelligence held by a recent college graduate.,The level of emotional intelligence held by a non-college graduate with an alternative credential.,The level of salary required by an ideal job applicant.,The level of salary required by a typical employee at my company.,The level of salary required by a recent college graduate.,The level of salary required by a non-college graduate with an alternative credential.,The level of written communication skill held by an ideal job applicant.,The level of written communication skill held by a typical employee at my company.,The level of written communication skill held by a recent college graduate.,The level of written communication skill held by a non-college graduate with an alternative credential.,The level of verbal communication skill held by an ideal job applicant.,The level of verbal communication skill held by a typical employee at my company.,The level of verbal communication skill held by a recent college graduate.,The level of verbal communication skill held by a non-college graduate with an alternative credential.,The level of body language communication skill held by an ideal job applicant.,The level of body language communication skill held by a typical employee at my company.,The level of body language communication skill held by a recent college graduate.,The level of body language communication skill held by a non-college graduate with an alternative credential.,The level of technical job skills held by an ideal job applicant.,The level of technical job skills held by a typical employee at my company.,The level of technical job skills held by a recent college graduate.,The level of technical job skills held by a non-college graduate with an alternative credential.,"The level of attention to detail, work ethic, timeliness, and organization of work held by an ideal job applicant.","The level of attention to detail, work ethic, timeliness, and organization of work held by a typical employee at my company.","The level of attention to detail, work ethic, timeliness, and organization of work held by a recent college graduate.","The level of attention to detail, work ethic, timeliness, and organization of work held by a non-college graduate with an alternative credential.",The level of willingness to break formal or informal rules and norms held by an ideal job applicant.,The level of willingness to break formal or informal rules and norms held by a typical employee at my company.,The level of willingness to break formal or informal rules and norms held by a recent college graduate.,The level of willingness to break formal or informal rules and norms held by a non-college graduate with an alternative credential.,The level of customer service skill held by an ideal job applicant.,The level of customer service skill held by a typical employee at my company.,The level of customer service skill held by a recent college graduate.,The level of customer service skill held by a non-college graduate with an alternative credential.,The level of teamwork held by an ideal job applicant.,The level of teamwork held by a typical employee at my company.,The level of teamwork held by a recent college graduate.,The level of teamwork held by a non-college graduate with an alternative credential.,"The willingness to commute or travel to a workplace or even as a part of the daily work, as in commercial trucking, held by an ideal job applicant.","The willingness to commute or travel to a workplace or even as a part of the daily work, as in commercial trucking, held by a typical employee at my company.","The willingness to commute or travel to a workplace or even as a part of the daily work, as in commercial trucking, held by a recent college graduate.","The willingness to commute or travel to a workplace or even as a part of the daily work, as in commercial trucking, held by a non-college graduate with an alternative credential.",The willingness to work odd hours or a strange schedule held by an ideal job applicant.,The willingness to work odd hours or a strange schedule held by a typical employee at my company.,The willingness to work odd hours or a strange schedule held by a recent college graduate.,The willingness to work odd hours or a strange schedule held by a non-college graduate with an alternative credential.
10/9/2021 17:52,10/9/2021 18:03,Strongly Agree,Strongly Agree,Strongly Agree,Under a week,Coursera,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Yes,na,"Yes. Certification, license, or other non-degree credentials are required by law.",51-200,Real Estate,,TRUE,California,Male,"10,000-24,999",18-24,Some College,Asian or Asian American,3.24,"80,50,50,60",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,Agnostic or Atheist,Strongly Agree,Large negative impact,Large degree,Moderate degree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,2,3,3,Very Impressed,Very Impressed,Very Much,Very Much,Very Much,Very Much,8,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much
10/9/2021 16:55,10/9/2021 16:58,Strongly Agree,Strongly Agree,Strongly Agree,Under a year,Coursera,edX,LinkedIn Learning,Pluralsight,Udacity,Udemy,7,7,8,No,Na,"Yes. Certification, license, or other non-degree credentials are an industry norm.","1,001-5,000",Information Technology,,TRUE,California,Female,"125,000-149,999",35-44,Obtained Undergraduate Degree,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021 15:31,10/9/2021 16:00,8,8,9,Under 3 months,,,,,Udacity,Udemy,8,7,9,Yes,n/a,"Yes. Certification, license, or other non-degree credentials are an industry norm.",51-200,Information Technology,,TRUE,Virginia,Male,"75,000-99,999",25-34,Obtained Undergraduate Degree,Hispanic or Latino,3,"67,58,50,67,60",8,7,7,9,8,"Spiritual or Theistic, No Specific Religion",8,Moderate negative impact,Slight degree,Moderate degree,3,5,4,3,5,4,5,4,9,8,8,8,7,8,9,8,Very Much,8,6,7,7,7,9,8,8,7,9,7,8,7,9,8,9,7,9,8,9,7,8,9,7,7,9,9,8,Very Much,6,8,7,9,8,6,7,7,9,8,7,8,8,9,7,6
10/9/2021 15:39,10/9/2021 15:51,8,6,8,Under a month,,,LinkedIn Learning,Pluralsight,,Udemy,7,8,7,Yes,COMPUTER TECHNICIAN,"Yes. Certification, license, or other non-degree credentials are required by law.",201-500,Information Technology,,TRUE,Michigan,Male,"25,000-49,999",25-34,Obtained Undergraduate Degree,White or Caucasian,3.2,"50,46,58,56,54",7,8,7,6,8,Conservative or Evangelical Christian,5,Moderate negative impact,Slight degree,Moderate degree,8,7,8,7,8,7,8,7,8,7,8,7,6,7,8,6,7,8,7,6,7,8,6,7,8,6,7,7,8,6,7,8,6,7,8,6,7,8,7,6,7,8,6,8,7,8,7,6,7,8,7,6,8,7,6,8,6,7,8,6,8,6
10/9/2021 15:15,10/9/2021 15:36,9,8,8,Under a month,Coursera,edX,,,Udacity,Udemy,8,9,8,Yes,COMPUTER TECHNICIAN,"Yes. Certification, license, or other non-degree credentials are required by law.","501-1,000",Information Technology,,TRUE,Michigan,Male,"50,000-74,999",25-34,Obtained Undergraduate Degree,White or Caucasian,4.2,"62.5,60,62.5,73,62.5",9,8,8,8,9,Conservative or Evangelical Christian,8,Moderate negative impact,Moderate degree,Slight degree,8,9,6,7,6,7,4,6,5,8,7,8,5,6,4,7,5,6,7,8,5,6,7,5,4,7,5,6,8,5,6,7,4,5,6,4,5,6,5,4,6,8,5,7,6,8,6,7,8,6,7,6,7,8,6,7,5,7,6,6,8,5
10/9/2021 14:41,10/9/2021 15:35,7,8,7,Under a month,,,,,,Udemy,6,6,6,Yes,Manager,"No. I do not know of any credentials which are common, valued, or legally required in that line of work.","1,001-5,000",Information Technology,,TRUE,Ohio,Male,"50,000-74,999",45-54,Some Graduate School,White or Caucasian,3.3,"62.5,56,58,58,52",6,7,6,6,5,Other Christian,6,Moderate negative impact,Moderate degree,Moderate degree,6,5,6,5,6,5,6,5,6,6,6,6,6,6,5,5,5,6,5,6,6,4,5,5,5,6,5,5,5,5,5,6,4,5,6,5,6,4,5,6,5,5,5,6,6,5,5,6,6,5,5,5,6,4,5,6,5,5,5,6,5,6
10/9/2021 15:02,10/9/2021 15:24,Strongly Agree,Strongly Agree,Strongly Agree,More than a year,Coursera,,,,Udacity,Udemy,8,4,7,No,n/a,Not Applicable,Nov-50,Law,,FALSE,Virginia,Female,"10,000-24,999",45-54,Some College,White or Caucasian,3.2,"69, 65, 52, 69, 56",7,6,8,6,7,Agnostic or Atheist,3,Large negative impact,Large degree,No increase (or a decrease),5,5,3,6,3,5,3,Strongly Disagree,8,8,8,7,7,8,8,8,8,8,6,7,7,7,Very Much,Very Much,9,8,Very Much,Very Much,9,8,9,8,8,8,Very Much,8,8,8,Very Much,Very Much,9,9,6,6,6,7,Very Much,9,8,7,Very Much,Very Much,9,8,8,8,8,8,Very Much,8,8,8
10/9/2021 14:45,10/9/2021 15:20,8,9,7,Under 6 months,Coursera,edX,LinkedIn Learning,,Udacity,Udemy,7,6,7,No,ADMINISTRATION MANAGER,"Yes. Certification, license, or other non-degree credentials are an industry norm.","1,001-5,000",Manufacturing,,TRUE,North Carolina,Male,"50,000-74,999",45-54,Obtained Undergraduate Degree,White or Caucasian,4,"62.5,71,73,73,29",9,Strongly Agree,8,9,8,Progressive Christian,8,Slight negative impact,Moderate degree,Large degree,6,8,7,9,7,8,8,Strongly Disagree,Very Impressed,Very Impressed,8,9,9,7,8,8,9,7,8,9,7,5,9,9,9,7,Very Much,Very Much,9,7,9,Very Much,9,8,Very Much,Very Much,9,8,7,8,7,6,8,9,7,6,8,8,9,8,8,9,8,9,9,9,9,9,8,9,8,9
10/9/2021 14:56,10/9/2021 15:01,9,Strongly Agree,6,Under 6 months,,edX,LinkedIn Learning,Pluralsight,Udacity,Udemy,9,6,5,Yes,market research,"Yes. Certification, license, or other non-degree credentials are an industry norm.",51-200,"Finance, Investment, or Accounting",,TRUE,Ohio,Male,"50,000-74,999",35-44,Some Graduate School,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021 14:43,10/9/2021 14:55,6,2,5,Under a year,Coursera,,,,,,5,6,6,Yes,communications officer,"No. I do not know of any credentials which are common, valued, or legally required in that line of work.","1,001-5,000",Health,,TRUE,Maryland,Female,"200,000+",45-54,Obtained Non-Doctoral Graduate Degree,White or Caucasian,3.9,"65,79,56,50,54",5,7,9,9,9,Agnostic or Atheist,2,Moderate negative impact,Large degree,Slight degree,9,6,8,4,8,3,7,2,9,9,7,7,7,7,7,7,7,7,7,7,6,5,8,7,6,4,8,7,4,3,8,7,5,4,8,7,5,4,8,7,6,5,5,5,5,5,7,6,5,4,8,7,6,5,7,7,7,7,7,6,6,6
10/9/2021 14:22,10/9/2021 14:44,5,8,9,Under 6 months,Coursera,,,,Udacity,Udemy,2,8,5,No,Computer Technician,"Yes. Certification, license, or other non-degree credentials are an industry norm.",10-Jan,Information Technology,,FALSE,Tennessee,Male,"75,000-99,999",45-54,Some College,White or Caucasian,4.3,"62,92,46,83,4",5,2,9,7,8,"Religious, Not Christian",2,Slight negative impact,Moderate degree,Large degree,9,6,8,3,5,2,4,Strongly Agree,9,9,3,3,2,2,9,Very Much,8,9,6,6,5,4,9,9,Very Much,Very Much,8,9,8,8,7,9,7,6,Very Much,Very Much,Very Much,Very Much,Very Much,9,9,Very Much,3,5,3,3,8,8,5,5,Very Much,8,9,9,5,3,5,5,8,4,9,9
10/9/2021 13:58,10/9/2021 14:29,9,8,9,Under a month,Coursera,,LinkedIn Learning,,Udacity,,7,8,9,No,n/a,"No. I do not know of any credentials which are common, valued, or legally required in that line of work.",201-500,Information Technology,,TRUE,Florida,Female,"25,000-49,999",45-54,Obtained Undergraduate Degree,White or Caucasian,2.9,"62.5,62.5,67,56,46",9,Strongly Agree,7,9,8,Other Christian,5,Moderate negative impact,Slight degree,Moderate degree,3,6,5,3,5,4,3,5,7,8,7,8,8,6,8,5,7,8,7,8,9,7,8,6,6,8,8,9,7,5,8,7,6,7,8,7,8,7,Very Much,8,5,8,7,7,8,7,7,5,8,8,7,7,8,7,6,8,7,7,6,8,8,7
10/9/2021 13:58,10/9/2021 14:06,Strongly Agree,Strongly Agree,Strongly Agree,More than a year,Coursera,,,,,,9,8,Strongly Agree,No,IT support,"Yes. Certification, license, or other non-degree credentials are an industry norm.",Nov-50,Information Technology,,TRUE,Florida,Male,"25,000-49,999",25-34,Obtained Undergraduate Degree,Asian or Asian American,3.3,"37.5,48,48,27,40",9,8,Strongly Agree,8,9,Agnostic or Atheist,9,Large negative impact,Large degree,Moderate degree,9,6,5,3,4,3,3,Strongly Agree,Very Impressed,Very Impressed,9,8,7,9,Very Much,8,8,Very Much,8,8,9,Very Much,8,8,8,9,Very Much,9,8,8,9,Very Much,Very Much,9,8,9,9,8,8,9,9,Very Much,Very Much,8,9,9,9,Very Much,8,8,9,9,8,8,9,Very Much,9,9,9,8,9,8
10/9/2021 13:12,10/9/2021 14:01,8,7,6,Under 3 months,Coursera,,,,,,8,7,8,Yes,software developer,"Yes. Certification, license, or other non-degree credentials are an industry norm.","501-1,000",Information Technology,,TRUE,Washington,Female,"75,000-99,999",25-34,Some College,Asian or Asian American,2.5,"67,56,60,62.5,52",6,8,8,7,8,Conservative or Evangelical Christian,7,Slight negative impact,Moderate degree,Slight degree,7,7,6,7,6,6,7,6,7,8,8,7,8,7,8,6,7,5,8,8,9,7,8,8,7,8,7,8,7,8,7,8,6,8,7,8,7,8,7,8,8,6,7,7,8,7,8,8,7,7,8,8,7,8,7,8,8,7,8,7,8,7
10/9/2021 13:37,10/9/2021 13:58,8,6,7,Under 3 months,,,LinkedIn Learning,,,,7,8,7,No,n/a,"Yes. Certification, license, or other non-degree credentials are required by law.","501-1,000",Manufacturing,,TRUE,Michigan,Female,"50,000-74,999",25-34,Obtained Undergraduate Degree,White or Caucasian,3.8,81,9,7,7,8,7,Conservative or Evangelical Christian,6,Slight negative impact,Moderate degree,Large degree,7,3,8,7,5,5,7,8,7,8,8,9,7,8,6,7,8,7,8,7,8,6,9,7,8,9,7,8,7,8,7,8,7,8,7,8,9,8,6,7,8,7,8,6,7,8,7,6,7,8,7,8,9,8,8,7,8,7,8,7,8,8
10/9/2021 13:41,10/9/2021 13:56,7,8,6,Under 3 months,Coursera,,LinkedIn Learning,,,,7,9,8,Yes,n/a,"Yes. Certification, license, or other non-degree credentials are an industry norm.",51-200,Information Technology,,TRUE,Virginia,Male,"75,000-99,999",25-34,Obtained Undergraduate Degree,Hispanic or Latino,3.5,"58,62.5,48,65,65",7,9,8,7,9,"Spiritual or Theistic, No Specific Religion",8,Moderate negative impact,Slight degree,Moderate degree,8,9,2,3,4,2,5,3,8,7,8,7,9,5,9,8,8,Very Much,8,9,7,8,8,6,9,8,Very Much,9,7,9,8,9,7,Very Much,9,9,7,8,7,8,7,6,7,9,5,7,4,9,8,8,6,8,9,7,8,8,7,8,6,9,8,7
10/9/2021 13:19,10/9/2021 13:51,8,7,7,Under 3 months,,,LinkedIn Learning,,,,8,7,6,Yes,Manager,"Yes. Certification, license, or other non-degree credentials are required by law.","501-1,000",Manufacturing,,TRUE,Michigan,Male,"50,000-74,999",25-34,Obtained Undergraduate Degree,White or Caucasian,3,79,8,9,7,8,7,Conservative or Evangelical Christian,8,Slight negative impact,Moderate degree,Moderate degree,8,7,6,9,4,7,5,7,6,7,8,7,8,6,8,7,8,7,8,9,7,7,6,8,8,9,7,8,7,5,7,6,8,6,8,9,7,8,7,6,8,5,6,7,6,7,8,7,6,8,7,8,6,7,6,7,6,7,6,8,7,7
